tstamp,country,observation,obs_ord,count
2020-03-15,Slovakia,serious_critical,Serious Critical,NA
2020-03-15,Slovakia,tot_cases_1m_pop,Total Cases per 1m Population,8.1
2020-03-15,Slovakia,death_rate,Death Rate,NA
2020-03-15,Bulgaria,total_cases,Total Cases,41
2020-03-15,Bulgaria,new_cases,New Cases,10
2020-03-15,Bulgaria,total_deaths,Total Deaths,NA
2020-03-15,Bulgaria,new_deaths,NA,1
2020-03-15,Bulgaria,total_recovered,Total Recovered,NA
2020-03-15,Bulgaria,active_cases,Active Cases,39
2020-03-15,Bulgaria,serious_critical,Serious Critical,NA
2020-03-15,Bulgaria,tot_cases_1m_pop,Total Cases per 1m Population,5.9
2020-03-15,Bulgaria,death_rate,Death Rate,NA
2020-03-15,Brunei,total_cases,Total Cases,40
2020-03-15,Brunei,new_cases,New Cases,3
2020-03-15,Brunei,total_deaths,Total Deaths,NA
2020-03-15,Brunei,new_deaths,NA,NA
2020-03-15,Brunei,total_recovered,Total Recovered,NA
2020-03-15,Brunei,active_cases,Active Cases,40
2020-03-15,Brunei,serious_critical,Serious Critical,NA
2020-03-15,Brunei,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-03-15,Brunei,death_rate,Death Rate,NA
2020-03-15,Albania,total_cases,Total Cases,38
2020-03-15,Albania,new_cases,New Cases,5
2020-03-15,Albania,total_deaths,Total Deaths,NA
2020-03-15,Albania,new_deaths,NA,NA
2020-03-15,Albania,total_recovered,Total Recovered,NA
2020-03-15,Albania,active_cases,Active Cases,37
2020-03-15,Albania,serious_critical,Serious Critical,2
